Time,POMh,POMo,MOM,DOM,QOM,MBA,MBD
172.0,NaN,NaN,0.13466707453432392,NaN,NaN,NaN,NaN
173.0,NaN,NaN,0.13467676682812812,NaN,NaN,NaN,NaN
174.0,NaN,NaN,0.13468645912193233,NaN,NaN,NaN,NaN
175.0,NaN,NaN,0.13469615141573654,NaN,NaN,NaN,NaN
176.0,NaN,NaN,0.13470584370954075,NaN,NaN,NaN,NaN
177.0,NaN,NaN,0.13471553600334496,NaN,NaN,NaN,NaN
178.0,NaN,NaN,0.13472522829714917,NaN,NaN,NaN,NaN
179.0,NaN,NaN,0.13473492059095338,NaN,NaN,NaN,NaN
180.0,NaN,NaN,0.1347446128847576,NaN,NaN,NaN,NaN
181.0,NaN,NaN,0.1347543051785618,NaN,NaN,NaN,NaN
182.0,NaN,NaN,0.134763997472366,NaN,NaN,NaN,NaN
183.0,NaN,NaN,0.1347736897661702,NaN,NaN,NaN,NaN
184.0,NaN,NaN,0.13478338205997442,NaN,NaN,NaN,NaN
185.0,NaN,NaN,0.13479307435377863,NaN,NaN,NaN,NaN
186.0,NaN,NaN,0.13480276664758284,NaN,NaN,NaN,NaN
187.0,NaN,NaN,0.13481245894138705,NaN,NaN,NaN,NaN
188.0,NaN,NaN,0.13482215123519126,NaN,NaN,NaN,NaN
189.0,NaN,NaN,0.13483184352899547,NaN,NaN,NaN,NaN
190.0,NaN,NaN,0.13484153582279967,NaN,NaN,NaN,NaN
191.0,NaN,NaN,0.13485122811660388,NaN,NaN,NaN,NaN
192.0,NaN,NaN,0.1348609204104081,NaN,NaN,NaN,NaN
193.0,NaN,NaN,0.1348706127042123,NaN,NaN,NaN,NaN
194.0,NaN,NaN,0.1348803049980165,NaN,NaN,NaN,NaN
195.0,NaN,NaN,0.13488999729182072,NaN,NaN,NaN,NaN
196.0,NaN,NaN,0.13489968958562493,NaN,NaN,NaN,NaN
197.0,NaN,NaN,0.13490938187942914,NaN,NaN,NaN,NaN
198.0,NaN,NaN,0.13491907417323334,NaN,NaN,NaN,NaN
199.0,NaN,NaN,0.13492876646703755,NaN,NaN,NaN,NaN
200.0,NaN,NaN,0.13493845876084176,NaN,NaN,NaN,NaN
201.0,NaN,NaN,0.13494815105464597,NaN,NaN,NaN,NaN
202.0,NaN,NaN,0.13495784334845018,NaN,NaN,NaN,NaN
203.0,NaN,NaN,0.1349675356422544,NaN,NaN,NaN,NaN
204.0,NaN,NaN,0.1349772279360586,NaN,NaN,NaN,NaN
205.0,NaN,NaN,0.1349869202298628,NaN,NaN,NaN,NaN
206.0,NaN,NaN,0.13499661252366701,NaN,NaN,NaN,NaN
207.0,NaN,NaN,0.13500630481747122,NaN,NaN,NaN,NaN
208.0,NaN,NaN,0.13501599711127543,NaN,NaN,NaN,NaN
209.0,NaN,NaN,0.13502568940507964,NaN,NaN,NaN,NaN
210.0,NaN,NaN,0.13503538169888385,NaN,NaN,NaN,NaN
211.0,NaN,NaN,0.13504507399268806,NaN,NaN,NaN,NaN
212.0,NaN,NaN,0.13505476628649227,NaN,NaN,NaN,NaN
213.0,NaN,NaN,0.13506445858029648,NaN,NaN,NaN,NaN
214.0,NaN,NaN,0.13507415087410068,NaN,NaN,NaN,NaN
