Time,cPOMh,cPOMo,cMOM,cDOM,cQOM,cMBA,cMBD,cEM,nPOMh,nPOMo,nMOM,nDOM,nQOM,nMBA,nMBD,nEM
1.0,0.3366037198235155,0.03769302828594407,1.0646752801736046,0.0731964021497704,0.11900176666618502,0.0005144042376332484,0.03249497295826573,5.9830772602627486e-5,0.0006732074398492847,0.026427623049774297,0.13300250357517385,0.008965028446301277,0.014814168734108,7.702509115174962e-5,0.004923507268748394,1.9943590867542497e-5
2.0,0.33390832165014933,0.03768590476205151,1.0653503705021112,0.04377238523674302,0.15040795603900292,0.0007027165007738608,0.03232084097152717,5.96655782623377e-5,0.0006678166437407759,0.02642262855035191,0.13300503244854525,0.005172755174026127,0.018608956169690202,0.00010438087084126038,0.004897149867832592,1.9888526087445912e-5
3.0,0.33126450934273727,0.03767895245145028,1.0660125311328401,0.029792902638505193,0.16631948031450178,0.0008938337962316866,0.03214764910960771,5.950406454678137e-5,0.0006625290193994391,0.02641775409327974,0.13300750675414388,0.0033336938352702444,0.020449298920542303,0.00013201233948272008,0.004870934628310924,1.9834688182260476e-5
4.0,0.3286463965309404,0.03767202184945529,1.0666682625580322,0.023057898010784745,0.1749535256488153,0.0010885130630412239,0.03197527454902856,5.93464778033321e-5,0.0006572927939616448,0.026412894856746444,0.13300996458122694,0.0023964942849088594,0.021386652131724117,0.00015984894768661826,0.004844842942468357,1.978215926777739e-5
5.0,0.3260292065999652,0.03766496487410012,1.0673237875214518,0.019893019087425436,0.17999858406414915,0.0012878186625752714,0.031803850079303544,5.91932722869071e-5,0.0006520584142859654,0.026407947016358964,0.13301244322281067,0.0018907290076012606,0.02189141286894741,0.00018790805337105636,0.004818894932463339,1.9731090762302406e-5
6.0,0.3234375982155109,0.037657929932958314,1.0679729126335051,0.018395050085511098,0.1833425069728078,0.0014909358540364614,0.03163336894815276,5.904418475713879e-5,0.0006468751977213447,0.026403014624757852,0.1330149053811168,0.0015847566437464406,0.022195759424160178,0.00021608748518504913,0.004793089577513618,1.96813949190463e-5
7.0,0.3208712745675719,0.03765091694255533,1.068615712084831,0.017710549226185434,0.18583866563332857,0.0016979680436205176,0.031463820544455755,5.8899273484371684e-5,0.0006417425506579691,0.026398097623412147,0.1330173512145148,0.0013774240719326843,0.022401057113712704,0.0002443654894788563,0.0047674252721201455,1.9633091161457262e-5
8.0,0.31830686841477357,0.037643779377636445,1.0692580559860698,0.01751584518605901,0.1878213171252955,0.0019107294449384245,0.031295218592380755,5.875920855712221e-5,0.0006366137386443003,0.026393093279405148,0.13301981705270988,0.0012278291056015684,0.022547981141177682,0.00027283892621506706,0.004741904098071381,1.95864028523741e-5
9.0,0.31576760182891545,0.03763666407873113,1.069894110379074,0.017469635472860092,0.18961975023963493,0.0021276542358728257,0.03112773918561204,5.862354237380694e-5,0.0006315352061747405,0.026388104546530417,0.13302226657547442,0.0011048904442934695,0.022668101112826633,0.0003013505893864793,0.004716552739819562,1.9541180791269015e-5
10.0,0.3132531785114644,0.03762957095923793,1.0705239493222931,0.01749474754991609,0.19131100949605628,0.0023493229034955245,0.030960911717560047,5.8492344415794416e-5,0.0006265063598352425,0.02638313136443096,0.13302469994095173,0.0010000339632776824,0.02277007594453552,0.0003299552152008031,0.0046912998922823725,1.9497448138598174e-5
