Time,co2_maintn_mba,co2_growth,co2_maintn_mbd,mom_dom,pomo_mom
28.0,1.923406548823004e-6,1.5430083994654954e-5,6.307370526765867e-9,0.0,7.126078454805295e-8
29.0,2.0791392029036883e-6,1.708603935257597e-5,6.273544591463083e-9,0.0,7.251857513763803e-8
30.0,2.1763607363631085e-6,1.7884990641785234e-5,6.239901522120676e-9,0.0,7.229701371364521e-8
31.0,2.275986504812479e-6,1.870369955645497e-5,6.206434369385436e-9,0.0,7.207647109802568e-8
32.0,2.3780818448325473e-6,1.954270302234186e-5,6.17314447141947e-9,0.0,7.185695342320677e-8
33.0,2.4827120933495164e-6,2.0402537968041525e-5,6.140033703110708e-9,0.0,7.16384671126633e-8
34.0,2.58994747590749e-6,2.1283781496043506e-5,6.107100915363178e-9,0.0,7.142101889380574e-8
35.0,2.6143911837977757e-6,2.0973348346750002e-5,6.074343615367266e-9,0.0,6.97556620884987e-8
36.0,2.8096874292606697e-6,2.308956991323183e-5,6.041766099312444e-9,0.0,7.098939534523077e-8
37.0,2.9251038285952703e-6,2.403804375192889e-5,6.009362877211332e-9,0.0,7.077509664025595e-8
38.0,3.043417955644045e-6,2.501033066177014e-5,5.977133413973432e-9,0.0,7.056186597231884e-8
39.0,3.1647116124383202e-6,2.6007102878998557e-5,5.9450759082406634e-9,0.0,7.034971175841086e-8
40.0,3.2890639930839458e-6,2.702901120833522e-5,5.91319182005938e-9,0.0,7.013864278518929e-8
41.0,3.4165560557047877e-6,2.8076720950924154e-5,5.8814825528789606e-9,0.0,6.992866821431243e-8
42.0,3.5472573747825806e-6,2.9150803858926635e-5,5.849960419486072e-9,0.0,6.971979757878784e-8
43.0,3.681263401710601e-6,3.025204433689793e-5,5.818617967053253e-9,0.0,6.951204080145045e-8
44.0,3.818681856594578e-6,3.138132761174492e-5,5.787439745509044e-9,0.0,6.930540825918081e-8
45.0,3.9595984295661995e-6,3.253935787150852e-5,5.756430665851045e-9,0.0,6.909991078269831e-8
46.0,4.104083137717163e-6,3.3726710505649183e-5,5.72561030425508e-9,0.0,6.889555960784033e-8
47.0,4.252249882020761e-6,3.494432153447245e-5,5.694963812480526e-9,0.0,6.869236641025666e-8
48.0,4.404218051239868e-6,3.619317207607655e-5,5.664474340716625e-9,0.0,6.849034339431403e-8
49.0,4.560086244099944e-6,3.7474072399298214e-5,5.63414464657915e-9,0.0,6.828950328313747e-8
50.0,4.877254806060136e-6,4.107152486340709e-5,5.6039941941018895e-9,0.0,6.952432655207878e-8
51.0,4.889125762345652e-6,4.0178067470646604e-5,5.574018772982598e-9,0.0,6.779372894092848e-8
52.0,5.05738404615007e-6,4.156078761486023e-5,5.5442292963747455e-9,0.0,6.703866861977734e-8
53.0,5.229962629196158e-6,4.2979011299555885e-5,5.514615806178073e-9,0.0,6.655792389376175e-8
54.0,5.235698179682706e-6,4.200217719576893e-5,5.485267644915828e-9,0.0,6.367653898834842e-8
55.0,5.582629741628731e-6,4.587717422821738e-5,5.4560824567024294e-9,0.0,6.481288055600131e-8
56.0,5.7686263378677025e-6,4.740566503746477e-5,5.427070519222523e-9,0.0,6.446776540705087e-8
57.0,5.959479760012075e-6,4.897406847903251e-5,5.398180787764687e-9,0.0,6.460127714467615e-8
58.0,6.155209117264213e-6,5.05825415893437e-5,5.369495905930426e-9,0.0,6.394107010484934e-8
59.0,6.2805183047171216e-6,5.161231280671557e-5,5.341089211879465e-9,0.0,6.29267233461925e-8
60.0,6.3964738348040505e-6,5.256521713724194e-5,5.312905516931732e-9,0.0,6.240136299877434e-8
61.0,6.5128389305996435e-6,5.352148721442248e-5,5.284728237514051e-9,0.0,6.307764856058137e-8
62.0,6.6296381508623275e-6,5.4481324858275916e-5,5.256551016632155e-9,0.0,6.430076005663122e-8
63.0,6.537477051885334e-6,5.2445396988716684e-5,5.228472618847428e-9,0.0,6.35172974466501e-8
64.0,6.861451745795806e-6,5.638633256529428e-5,5.200537546027262e-9,0.0,6.47944587508723e-8
65.0,6.76221631630424e-6,5.42483157367072e-5,5.172772716832861e-9,0.0,6.288990326648925e-8
66.0,6.872764785262951e-6,5.513516524990929e-5,5.14546826459244e-9,0.0,6.011580791755512e-8
67.0,6.983196423214915e-6,5.602107751339245e-5,5.118399832314775e-9,0.0,5.960612194183334e-8
68.0,7.320193217367589e-6,6.015619791389026e-5,5.0916275562796125e-9,0.0,6.013266290400485e-8
69.0,7.436473170668801e-6,6.11117683034272e-5,5.064948433925308e-9,0.0,6.015230726765906e-8
70.0,7.55295958227347e-6,6.206903533486892e-5,5.038407467661911e-9,0.0,5.998859981713766e-8
71.0,7.66966614772364e-6,6.30281115560285e-5,5.012006328884691e-9,0.0,5.982590777294065e-8
72.0,7.786317681906004e-6,6.398673553887423e-5,4.985856221614717e-9,0.0,5.929675507980626e-8
73.0,7.903636016678457e-6,6.495083918422003e-5,4.959689032064186e-9,0.0,5.968278718747793e-8
74.0,8.022018075814707e-6,6.592368434928454e-5,4.93335955569363e-9,0.0,6.117860147614026e-8
